name	datetime	temp	feelslike	dew	humidity	precip	precipprob	preciptype	snow	snowdepth	windgust	windspeed	winddir	sealevelpressure	cloudcover	visibility	solarradiation	solarenergy	uvindex	severerisk	conditions	icon	stations
berlin	1992-07-07T05:00:00	14.5	14.5	11.1	80.07		0					31.3	29	1014.2	90	16.8					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-07T06:00:00	14.1	14.1	11.3	83.09		0					27	33	1014.4	60	11.1					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-07T07:00:00	14.1	14.1	11.5	84.38		0					29.6	23	1015	90	11.1					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-07T08:00:00	14.5	14.5	11.8	84.13		0					28	25	1015.1	61.1	17.4					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-07T09:00:00	16.1	16.1	12.1	77.16		0					14.8	10		40	11					Partially cloudy	partly-cloudy-day	10384099999
berlin	1992-07-07T10:00:00	16.4	16.4	12.1	75.72		0					19.1	10	1015.8	52.2	12.4					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-07T11:00:00	18.2	18.2	12.6	69.62		0					22.8	12	1016.2	61.1	19.4					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-07T12:00:00	19.4	19.4	12.1	62.46		0					17.9	30	1016.3	80.7	12.8					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-07T13:00:00	21.8	21.8	11.7	52.65		0					16	37	1016.1	43	12.8					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-07T14:00:00	22.2	22.2	11.1	49.57		0					15.2	7	1016.1	88.5	19					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-07T15:00:00	22.6	22.6	11.6	49.85		0					18.2	360	1016.1	90	40					Partially cloudy	partly-cloudy-day	10389099999,10385099999
berlin	1992-07-07T16:00:00	22.3	22.3	10.9	48.53		0					11.5	354	1015.9	67.5	21.5					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-07T17:00:00	24	24	10.5	42.48		0					13.9	351	1016	63	20.8					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
